order_id,timestamp,category,item_id,item_name,quantity,unit_price,total_amount,day_type
ORD2026050100029,2026-05-01 11:27:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100030,2026-05-01 10:45:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100031,2026-05-01 10:25:00,Bakery,ITEM018,Bingo 20,1,20,20,normal
ORD2026050100032,2026-05-01 13:53:00,Bakery,ITEM032,Ice Cream 30,1,30,30,normal
ORD2026050100033,2026-05-01 14:03:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100034,2026-05-01 14:28:00,Bakery,ITEM045,Maaza,1,20,20,normal
ORD2026050100035,2026-05-01 13:25:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100036,2026-05-01 13:50:00,Bakery,ITEM010,Love Bite,1,20,20,normal
ORD2026050100037,2026-05-01 13:51:00,Bakery,ITEM048,Fanta,1,20,20,normal
ORD2026050100038,2026-05-01 14:05:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100039,2026-05-01 15:44:00,Bakery,ITEM016,Kurkure,1,20,20,normal
ORD2026050100040,2026-05-01 13:30:00,Bakery,ITEM050,Smooth 20,1,20,20,normal
ORD2026050100041,2026-05-01 13:55:00,Bakery,ITEM047,Sprite,1,20,20,normal
ORD2026050100042,2026-05-01 13:41:00,Bakery,ITEM050,Smooth 20,1,20,20,normal
ORD2026050100043,2026-05-01 13:46:00,Bakery,ITEM002,Veg Puff,1,25,25,normal
ORD2026050100044,2026-05-01 13:44:00,Bakery,ITEM016,Kurkure,1,20,20,normal
ORD2026050100045,2026-05-01 11:41:00,Bakery,ITEM047,Sprite,1,20,20,normal
ORD2026050100046,2026-05-01 12:03:00,Bakery,ITEM048,Fanta,1,20,20,normal
ORD2026050100047,2026-05-01 11:47:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100048,2026-05-01 12:25:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100049,2026-05-01 11:56:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100050,2026-05-01 11:50:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100051,2026-05-01 13:54:00,Bakery,ITEM042,Thums Up,1,20,20,normal
ORD2026050100052,2026-05-01 11:22:00,Bakery,ITEM003,Samosa (Big),2,25,50,normal
ORD2026050100053,2026-05-01 14:01:00,Bakery,ITEM010,Love Bite,1,20,20,normal
ORD2026050100054,2026-05-01 14:37:00,Bakery,ITEM037,Ice Cream 70,1,70,70,normal
ORD2026050100055,2026-05-01 14:43:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100056,2026-05-01 13:16:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100057,2026-05-01 11:47:00,Bakery,ITEM008,Dilpasand,1,25,25,normal
ORD2026050100058,2026-05-01 11:26:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100059,2026-05-01 11:30:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",3,30,90,normal
ORD2026050100060,2026-05-01 12:05:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100061,2026-05-01 12:31:00,Bakery,ITEM003,Samosa (Big),4,25,100,normal
ORD2026050100062,2026-05-01 13:44:00,Bakery,ITEM025,Dairy Milk,1,20,20,normal
ORD2026050100063,2026-05-01 12:11:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100064,2026-05-01 14:46:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100065,2026-05-01 11:39:00,Bakery,ITEM043,Pulpy Orange,1,25,25,normal
ORD2026050100066,2026-05-01 14:11:00,Bakery,ITEM053,Red Bull,1,125,125,normal
ORD2026050100067,2026-05-01 14:08:00,Bakery,ITEM045,Maaza,1,20,20,normal
ORD2026050100068,2026-05-01 12:28:00,Bakery,ITEM040,Badam Milk,1,40,40,normal
ORD2026050100069,2026-05-01 11:54:00,Bakery,ITEM048,Fanta,1,20,20,normal
ORD2026050100070,2026-05-01 13:18:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100071,2026-05-01 09:59:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100072,2026-05-01 12:23:00,Bakery,ITEM013,Biscuit10,2,10,20,normal
ORD2026050100073,2026-05-01 11:48:00,Bakery,ITEM042,Thums Up,1,20,20,normal
ORD2026050100074,2026-05-01 14:05:00,Bakery,ITEM056,BRU Cold Coffee,1,60,60,normal
ORD2026050100075,2026-05-01 13:50:00,Bakery,ITEM022,Snickers,2,20,40,normal
ORD2026050100076,2026-05-01 11:32:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100077,2026-05-01 13:55:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100078,2026-05-01 11:46:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100079,2026-05-01 14:02:00,Bakery,ITEM055,Monster,1,125,125,normal
ORD2026050100080,2026-05-01 09:16:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100081,2026-05-01 13:26:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100082,2026-05-01 11:20:00,Bakery,ITEM042,Thums Up,1,20,20,normal
ORD2026050100083,2026-05-01 14:32:00,Bakery,ITEM008,Dilpasand,1,25,25,normal
ORD2026050100084,2026-05-01 13:42:00,Bakery,ITEM009,Dilkhush,1,25,25,normal
ORD2026050100085,2026-05-01 11:20:00,Bakery,ITEM005,Small Samosa Half Plate,3,15,45,normal
ORD2026050100086,2026-05-01 11:26:00,Bakery,ITEM045,Maaza,1,20,20,normal
ORD2026050100087,2026-05-01 12:35:00,Bakery,ITEM057,Campa 20,1,20,20,normal
ORD2026050100088,2026-05-01 11:56:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100089,2026-05-01 13:13:00,Bakery,ITEM018,Bingo 20,1,20,20,normal
ORD2026050100090,2026-05-01 11:39:00,Bakery,ITEM024,5 Star,1,20,20,normal
ORD2026050100091,2026-05-01 13:46:00,Bakery,ITEM012,Hide & Seek Biscuit,1,30,30,normal
ORD2026050100092,2026-05-01 11:22:00,Bakery,ITEM048,Fanta,1,20,20,normal
ORD2026050100093,2026-05-01 14:10:00,Bakery,ITEM016,Kurkure,1,20,20,normal
ORD2026050100094,2026-05-01 13:42:00,Bakery,ITEM049,Coca-Cola,1,20,20,normal
ORD2026050100095,2026-05-01 14:05:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100096,2026-05-01 11:44:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100097,2026-05-01 11:24:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100098,2026-05-01 14:00:00,Bakery,ITEM048,Fanta,1,20,20,normal
ORD2026050100099,2026-05-01 13:51:00,Bakery,ITEM022,Snickers,1,20,20,normal
ORD2026050100100,2026-05-01 11:42:00,Bakery,ITEM017,Chips 20,1,20,20,normal
ORD2026050100101,2026-05-01 13:23:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100102,2026-05-01 14:49:00,Bakery,ITEM041,Water Bottle,1,20,20,normal
ORD2026050100103,2026-05-01 10:01:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",3,30,90,normal
ORD2026050100104,2026-05-01 09:51:00,Bakery,ITEM049,Coca-Cola,4,20,80,normal
ORD2026050100105,2026-05-01 13:56:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100106,2026-05-01 14:40:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100107,2026-05-01 12:51:00,Bakery,ITEM048,Fanta,2,20,40,normal
ORD2026050100108,2026-05-01 14:02:00,Bakery,ITEM005,Small Samosa Half Plate,4,15,60,normal
ORD2026050100109,2026-05-01 09:54:00,Bakery,ITEM003,Samosa (Big),4,25,100,normal
ORD2026050100110,2026-05-01 14:19:00,Bakery,ITEM054,Appy Fizz Tin,1,40,40,normal
ORD2026050100111,2026-05-01 14:59:00,Bakery,ITEM047,Sprite,1,20,20,normal
ORD2026050100112,2026-05-01 13:28:00,Bakery,ITEM052,Mogu Mogu,1,40,40,normal
ORD2026050100113,2026-05-01 11:32:00,Bakery,ITEM048,Fanta,1,20,20,normal
ORD2026050100114,2026-05-01 11:58:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100115,2026-05-01 11:24:00,Bakery,ITEM042,Thums Up,2,20,40,normal
ORD2026050100116,2026-05-01 13:55:00,Bakery,ITEM045,Maaza,1,20,20,normal
ORD2026050100117,2026-05-01 14:06:00,Bakery,ITEM048,Fanta,1,20,20,normal
ORD2026050100118,2026-05-01 10:29:00,Bakery,ITEM017,Chips 20,1,20,20,normal
ORD2026050100119,2026-05-01 13:59:00,Bakery,ITEM048,Fanta,1,20,20,normal
ORD2026050100120,2026-05-01 13:48:00,Bakery,ITEM045,Maaza,1,20,20,normal
ORD2026050100121,2026-05-01 13:52:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100122,2026-05-01 11:21:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100123,2026-05-01 13:55:00,Bakery,ITEM040,Badam Milk,3,40,120,normal
ORD2026050100124,2026-05-01 13:40:00,Bakery,ITEM057,Campa 20,1,20,20,normal
ORD2026050100125,2026-05-01 15:54:00,Bakery,ITEM053,Red Bull,1,125,125,normal
ORD2026050100126,2026-05-01 14:40:00,Bakery,ITEM038,Pineapple Pastry,1,50,50,normal
ORD2026050100127,2026-05-01 11:29:00,Bakery,ITEM032,Ice Cream 30,1,30,30,normal
ORD2026050100128,2026-05-01 12:41:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100129,2026-05-01 13:49:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100130,2026-05-01 11:36:00,Bakery,ITEM017,Chips 20,1,20,20,normal
ORD2026050100131,2026-05-01 11:52:00,Bakery,ITEM006,Cream Bun,1,25,25,normal
ORD2026050100132,2026-05-01 11:52:00,Bakery,ITEM017,Chips 20,1,20,20,normal
ORD2026050100133,2026-05-01 13:40:00,Bakery,ITEM018,Bingo 20,1,20,20,normal
ORD2026050100134,2026-05-01 13:10:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100135,2026-05-01 12:18:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100136,2026-05-01 12:50:00,Bakery,ITEM030,Ice Cream 22,1,22,22,normal
ORD2026050100137,2026-05-01 12:44:00,Bakery,ITEM002,Veg Puff,1,25,25,normal
ORD2026050100138,2026-05-01 14:15:00,Bakery,ITEM048,Fanta,1,20,20,normal
ORD2026050100139,2026-05-01 12:57:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100140,2026-05-01 11:05:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100141,2026-05-01 13:00:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100142,2026-05-01 11:56:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100143,2026-05-01 14:00:00,Bakery,ITEM030,Ice Cream 22,1,22,22,normal
ORD2026050100144,2026-05-01 11:00:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100145,2026-05-01 14:31:00,Bakery,ITEM017,Chips 20,1,20,20,normal
ORD2026050100146,2026-05-01 12:55:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100147,2026-05-01 14:04:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100148,2026-05-01 13:56:00,Bakery,ITEM049,Coca-Cola,3,20,60,normal
ORD2026050100149,2026-05-01 11:50:00,Bakery,ITEM001,Egg Puff,1,30,30,normal
ORD2026050100150,2026-05-01 13:37:00,Bakery,ITEM055,Monster,1,125,125,normal
ORD2026050100151,2026-05-01 13:53:00,Bakery,ITEM039,Black Forest Pastry,1,60,60,normal
ORD2026050100152,2026-05-01 10:17:00,Bakery,ITEM045,Maaza,4,20,80,normal
ORD2026050100153,2026-05-01 11:51:00,Bakery,ITEM005,Small Samosa Half Plate,2,15,30,normal
ORD2026050100154,2026-05-01 10:55:00,Bakery,ITEM027,Ice Cream 10,1,10,10,normal
ORD2026050100155,2026-05-01 11:26:00,Bakery,ITEM049,Coca-Cola,1,20,20,normal
ORD2026050100156,2026-05-01 14:27:00,Bakery,ITEM024,5 Star,1,20,20,normal
ORD2026050100157,2026-05-01 14:44:00,Bakery,ITEM041,Water Bottle,1,20,20,normal
ORD2026050100158,2026-05-01 13:25:00,Bakery,ITEM053,Red Bull,1,125,125,normal
ORD2026050100159,2026-05-01 13:35:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100160,2026-05-01 14:04:00,Bakery,ITEM048,Fanta,1,20,20,normal
ORD2026050100161,2026-05-01 09:11:00,Bakery,ITEM054,Appy Fizz Tin,1,40,40,normal
ORD2026050100162,2026-05-01 11:28:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100163,2026-05-01 13:10:00,Bakery,ITEM016,Kurkure,1,20,20,normal
ORD2026050100164,2026-05-01 11:42:00,Bakery,ITEM047,Sprite,1,20,20,normal
ORD2026050100165,2026-05-01 11:47:00,Bakery,ITEM035,Ice Cream 45,3,45,135,normal
ORD2026050100166,2026-05-01 11:08:00,Bakery,ITEM049,Coca-Cola,1,20,20,normal
ORD2026050100167,2026-05-01 13:55:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100168,2026-05-01 11:43:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100169,2026-05-01 14:07:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100170,2026-05-01 11:26:00,Bakery,ITEM047,Sprite,1,20,20,normal
ORD2026050100171,2026-05-01 13:36:00,Bakery,ITEM001,Egg Puff,1,30,30,normal
ORD2026050100172,2026-05-01 11:23:00,Bakery,ITEM059,Butter Milk,1,15,15,normal
ORD2026050100173,2026-05-01 14:14:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100174,2026-05-01 11:45:00,Bakery,ITEM016,Kurkure,1,20,20,normal
ORD2026050100175,2026-05-01 13:25:00,Bakery,ITEM030,Ice Cream 22,1,22,22,normal
ORD2026050100176,2026-05-01 13:54:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100177,2026-05-01 14:20:00,Bakery,ITEM020,Chips 30,1,30,30,normal
ORD2026050100178,2026-05-01 09:31:00,Bakery,ITEM033,Ice Cream 35,1,35,35,normal
ORD2026050100179,2026-05-01 12:30:00,Bakery,ITEM018,Bingo 20,1,20,20,normal
ORD2026050100180,2026-05-01 13:20:00,Bakery,ITEM049,Coca-Cola,1,20,20,normal
ORD2026050100181,2026-05-01 13:29:00,Bakery,ITEM020,Chips 30,1,30,30,normal
ORD2026050100182,2026-05-01 12:06:00,Bakery,ITEM042,Thums Up,1,20,20,normal
ORD2026050100183,2026-05-01 11:22:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100184,2026-05-01 13:42:00,Bakery,ITEM047,Sprite,1,20,20,normal
ORD2026050100185,2026-05-01 12:48:00,Bakery,ITEM045,Maaza,4,20,80,normal
ORD2026050100186,2026-05-01 13:11:00,Bakery,ITEM049,Coca-Cola,1,20,20,normal
ORD2026050100187,2026-05-01 14:04:00,Bakery,ITEM003,Samosa (Big),3,25,75,normal
ORD2026050100188,2026-05-01 10:59:00,Bakery,ITEM009,Dilkhush,1,25,25,normal
ORD2026050100189,2026-05-01 10:10:00,Bakery,ITEM048,Fanta,2,20,40,normal
ORD2026050100190,2026-05-01 13:45:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100191,2026-05-01 13:42:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100192,2026-05-01 12:35:00,Bakery,ITEM047,Sprite,1,20,20,normal
ORD2026050100193,2026-05-01 13:44:00,Bakery,ITEM036,Ice Cream 50,1,50,50,normal
ORD2026050100194,2026-05-01 12:31:00,Bakery,ITEM049,Coca-Cola,1,20,20,normal
ORD2026050100195,2026-05-01 12:05:00,Bakery,ITEM049,Coca-Cola,1,20,20,normal
ORD2026050100196,2026-05-01 13:00:00,Bakery,ITEM045,Maaza,1,20,20,normal
ORD2026050100197,2026-05-01 14:11:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",2,30,60,normal
ORD2026050100198,2026-05-01 11:54:00,Bakery,ITEM016,Kurkure,1,20,20,normal
ORD2026050100199,2026-05-01 14:11:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100200,2026-05-01 11:57:00,Bakery,ITEM017,Chips 20,1,20,20,normal
ORD2026050100201,2026-05-01 12:52:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100202,2026-05-01 13:05:00,Bakery,ITEM042,Thums Up,1,20,20,normal
ORD2026050100203,2026-05-01 12:54:00,Bakery,ITEM037,Ice Cream 70,2,70,140,normal
ORD2026050100204,2026-05-01 12:59:00,Bakery,ITEM017,Chips 20,1,20,20,normal
ORD2026050100205,2026-05-01 14:08:00,Bakery,ITEM030,Ice Cream 22,1,22,22,normal
ORD2026050100206,2026-05-01 16:44:00,Bakery,ITEM034,Ice Cream 40,1,40,40,normal
ORD2026050100207,2026-05-01 10:41:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100208,2026-05-01 14:22:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100209,2026-05-01 13:37:00,Bakery,ITEM047,Sprite,3,20,60,normal
ORD2026050100210,2026-05-01 11:22:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100211,2026-05-01 10:14:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100212,2026-05-01 12:56:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100213,2026-05-01 14:12:00,Bakery,ITEM048,Fanta,1,20,20,normal
ORD2026050100214,2026-05-01 13:27:00,Bakery,ITEM021,Chocolate (Silk),1,10,10,normal
ORD2026050100215,2026-05-01 13:45:00,Bakery,ITEM019,Bingo Tedhe Medhe,1,20,20,normal
ORD2026050100216,2026-05-01 11:23:00,Bakery,ITEM031,Ice Cream 25,1,25,25,normal
ORD2026050100217,2026-05-01 09:50:00,Bakery,ITEM018,Bingo 20,1,20,20,normal
ORD2026050100218,2026-05-01 13:47:00,Bakery,ITEM057,Campa 20,1,20,20,normal
ORD2026050100219,2026-05-01 11:42:00,Bakery,ITEM042,Thums Up,1,20,20,normal
ORD2026050100220,2026-05-01 14:01:00,Bakery,ITEM049,Coca-Cola,1,20,20,normal
ORD2026050100221,2026-05-01 16:19:00,Bakery,ITEM030,Ice Cream 22,2,22,44,normal
ORD2026050100222,2026-05-01 11:56:00,Bakery,ITEM028,Ice Cream 18,1,18,18,normal
ORD2026050100223,2026-05-01 14:26:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100224,2026-05-01 13:55:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100225,2026-05-01 14:12:00,Bakery,ITEM017,Chips 20,3,20,60,normal
ORD2026050100226,2026-05-01 11:46:00,Bakery,ITEM049,Coca-Cola,1,20,20,normal
ORD2026050100227,2026-05-01 14:28:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100228,2026-05-01 12:58:00,Bakery,ITEM042,Thums Up,1,20,20,normal
ORD2026050100229,2026-05-01 09:44:00,Bakery,ITEM017,Chips 20,1,20,20,normal
ORD2026050100230,2026-05-01 13:56:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100231,2026-05-01 09:40:00,Bakery,ITEM047,Sprite,2,20,40,normal
ORD2026050100232,2026-05-01 13:52:00,Bakery,ITEM048,Fanta,3,20,60,normal
ORD2026050100233,2026-05-01 11:55:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100234,2026-05-01 12:35:00,Bakery,ITEM049,Coca-Cola,1,20,20,normal
ORD2026050100235,2026-05-01 11:20:00,Bakery,ITEM054,Appy Fizz Tin,1,40,40,normal
ORD2026050100236,2026-05-01 12:00:00,Bakery,ITEM022,Snickers,1,20,20,normal
ORD2026050100237,2026-05-01 09:06:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100238,2026-05-01 11:35:00,Bakery,ITEM018,Bingo 20,1,20,20,normal
ORD2026050100239,2026-05-01 13:41:00,Bakery,ITEM050,Smooth 20,1,20,20,normal
ORD2026050100240,2026-05-01 15:15:00,Bakery,ITEM047,Sprite,1,20,20,normal
ORD2026050100241,2026-05-01 13:37:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100242,2026-05-01 13:09:00,Bakery,ITEM044,Diet Coke,1,40,40,normal
ORD2026050100243,2026-05-01 14:05:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100244,2026-05-01 09:58:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100245,2026-05-01 15:38:00,Bakery,ITEM030,Ice Cream 22,1,22,22,normal
ORD2026050100246,2026-05-01 13:48:00,Bakery,ITEM050,Smooth 20,1,20,20,normal
ORD2026050100247,2026-05-01 12:45:00,Bakery,ITEM053,Red Bull,1,125,125,normal
ORD2026050100248,2026-05-01 11:53:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100249,2026-05-01 13:06:00,Bakery,ITEM043,Pulpy Orange,3,25,75,normal
ORD2026050100250,2026-05-01 15:27:00,Bakery,ITEM049,Coca-Cola,1,20,20,normal
ORD2026050100251,2026-05-01 12:40:00,Bakery,ITEM047,Sprite,1,20,20,normal
ORD2026050100252,2026-05-01 14:11:00,Bakery,ITEM045,Maaza,1,20,20,normal
ORD2026050100253,2026-05-01 11:28:00,Bakery,ITEM015,Lays,1,20,20,normal
ORD2026050100254,2026-05-01 12:09:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100255,2026-05-01 14:25:00,Bakery,ITEM048,Fanta,1,20,20,normal
ORD2026050100256,2026-05-01 13:02:00,Bakery,ITEM016,Kurkure,1,20,20,normal
ORD2026050100257,2026-05-01 12:56:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100258,2026-05-01 13:48:00,Bakery,ITEM005,Small Samosa Half Plate,1,15,15,normal
ORD2026050100259,2026-05-01 13:39:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100260,2026-05-01 14:14:00,Bakery,ITEM055,Monster,1,125,125,normal
ORD2026050100261,2026-05-01 12:17:00,Bakery,ITEM045,Maaza,1,20,20,normal
ORD2026050100262,2026-05-01 09:49:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100263,2026-05-01 12:07:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100264,2026-05-01 14:48:00,Bakery,ITEM031,Ice Cream 25,1,25,25,normal
ORD2026050100265,2026-05-01 11:34:00,Bakery,ITEM048,Fanta,2,20,40,normal
ORD2026050100266,2026-05-01 13:52:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100267,2026-05-01 13:20:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100268,2026-05-01 09:52:00,Bakery,ITEM037,Ice Cream 70,1,70,70,normal
ORD2026050100269,2026-05-01 15:12:00,Bakery,ITEM050,Smooth 20,1,20,20,normal
ORD2026050100270,2026-05-01 11:52:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100271,2026-05-01 13:40:00,Bakery,ITEM004,"Samosa (Small, 4 Pieces)",1,30,30,normal
ORD2026050100272,2026-05-01 11:23:00,Bakery,ITEM049,Coca-Cola,1,20,20,normal
ORD2026050100273,2026-05-01 14:02:00,Bakery,ITEM003,Samosa (Big),1,25,25,normal
ORD2026050100274,2026-05-01 11:59:00,Bakery,ITEM018,Bingo 20,1,20,20,normal
ORD2026050100275,2026-05-01 11:29:00,Bakery,ITEM041,Water Bottle,1,20,20,normal
